Query,Refcode,LAB1,LAB2,DIST1,LOS,SHIELDING,SHIELD_ATOM
1,JITJUU,N9,O2,3.577,-,-0.108,O8
1,JITJUU,N9,O9,3.981,-,-0.429,O8
1,JITJUU,N9,O12,3.019,+,0.181,O8
1,JITJUU,N10,O1,3.815,-,-0.040,O10
1,JITJUU,N10,O3,3.709,-,-0.117,O9
1,JITJUU,N10,O4,3.286,+,0.076,O10
1,JITJUU,N10,O12,3.956,-,-0.505,O9
1,JITJUU,N11,O4,3.673,-,-0.326,O12
1,JITJUU,N11,O5,2.900,+,0.217,O11
1,JITJUU,N11,O9,3.544,-,-0.088,O12
1,JITJUU,N11,O12,3.989,+,0.007,O12
1,JIVXUK,N10,O7,3.386,-,-0.179,O11
1,JIVXUK,N5,O1,3.505,-,-0.138,O5
1,JIVXUK,N5,O7,3.958,-,-0.568,O6
1,JIVXUK,N10,O2,3.849,-,-0.546,O12
1,JIVXUK,N10,O8,3.233,+,0.138,O12
1,JIVXUK,N5,O2,3.261,+,0.243,O5
1,JIVXUK,N5,O8,3.823,-,-0.175,O6
1,JIVXUK,N5,O3,3.526,-,-0.160,C1
1,JIVXUK,N10,O10,3.770,-,-0.347,C6
1,JIVXUK,N5,O4,3.773,-,-0.309,C1
1,JIVXUK,N10,O6,3.339,+,0.169,O12
1,JIVXUK,N5,O12,3.849,-,-0.287,O6
1,JIVXUK,N3,O11,2.914,+,0.355,C5
1,JIVXUK,N3,O5,3.995,-,-0.679,O1
1,JIVXUK,N8,O11,3.971,-,-0.890,O7
1,JIVXUK,N8,O5,3.114,+,0.245,O7
1,JIVXUK,N3,O12,3.024,+,0.222,O2
1,JIVXUK,N8,O6,3.237,+,0.123,O7
1,JIVXUK,N9,O10,3.961,-,-0.225,O10
1,JIVXUK,N4,O12,3.089,+,0.269,O3
1,JIVXUK,N9,O6,3.872,-,-0.328,O9
1,JIVYAR,N5,O2,3.309,+,0.178,O6
1,JIVYAR,N5,O3,3.887,-,-0.242,C2
1,JIVYAR,N5,O4,3.114,+,0.389,O5
1,JIVYAR,N5,O4,3.543,+,0.056,C2
1,JIVYAR,N3,O3,3.771,-,-0.268,O2
1,JIVYAR,N4,O1,2.973,+,0.343,O3
1,JIVYEV,N5,O3,3.541,-,-0.151,O1
1,JIVYEV,N6,O1,3.368,+,0.007,O3
1,JIVYEV,N6,O2,3.178,+,0.425,O4
1,JIVYIZ,N5,O1,3.358,-,-0.167,O6
1,JIVYIZ,N5,O1,3.905,-,-0.186,O6
1,JIVYIZ,N5,O5,3.022,+,0.233,O6
1,JIVYIZ,N5,O5,3.661,+,0.018,N5
1,JIVYIZ,N5,O6,3.270,+,0.030,O5
1,JIVYIZ,N3,O3,3.074,+,0.377,O1
1,JIVYIZ,N3,O6,3.693,-,-0.519,O1
1,JIVYIZ,N4,O2,3.954,-,-0.378,O3
1,JIVYIZ,N4,O4,3.170,+,0.133,O4
1,JIVYIZ,N4,O5,3.986,-,-0.633,O3
1,JIXROA,N8,O1,3.232,+,0.201,C6
1,JIXROA,N8,O4,3.516,+,0.017,N6
1,JIXROA,N6,O2,3.685,+,0.084,O4
1,JIXROA,N6,O2,3.791,-,-0.232,N8
