Query, Refcode,LAB1  ,LAB2  ,DIST1 
1,JITJUU,N10,O12,3.956
1,JITJUU,N11,O4,3.673
1,JITJUU,N11,O5,2.900
1,JITJUU,N11,O9,3.544
1,JITJUU,N11,O12,3.989
1,JIVXUK,N10,O7,3.386
1,JIVXUK,N5,O1,3.505
1,JIVXUK,N5,O7,3.958
1,JIVXUK,N10,O2,3.849
1,JIVXUK,N10,O8,3.233
1,JIVXUK,N5,O2,3.261
1,JIVXUK,N5,O8,3.823
1,JIVXUK,N5,O3,3.526
1,JIVXUK,N10,O10,3.770
1,JIVXUK,N5,O4,3.773
1,JIVXUK,N10,O6,3.339
1,JIVXUK,N5,O12,3.849
1,JIVXUK,N3,O11,2.914
1,JIVXUK,N3,O5,3.995
1,JIVXUK,N8,O11,3.971
1,JIVXUK,N8,O5,3.114
1,JIVXUK,N3,O12,3.024
1,JIVXUK,N8,O6,3.237
1,JIVXUK,N9,O10,3.961
1,JIVXUK,N4,O12,3.089
1,JIVXUK,N9,O6,3.872
1,JIVYAR,N5,O2,3.309
1,JIVYAR,N5,O3,3.887
1,JIVYAR,N5,O4,3.114
1,JIVYAR,N5,O4,3.543
1,JIVYAR,N3,O3,3.771
1,JIVYAR,N4,O1,2.973
1,JIVYEV,N5,O3,3.541
1,JIVYEV,N6,O1,3.368
1,JIVYEV,N6,O2,3.178
1,JIVYIZ,N5,O1,3.358
1,JIVYIZ,N5,O1,3.905
1,JIVYIZ,N5,O5,3.022
1,JIVYIZ,N5,O5,3.661
1,JIVYIZ,N5,O6,3.270
1,JIVYIZ,N3,O3,3.074
1,JIVYIZ,N3,O6,3.693
1,JIVYIZ,N4,O2,3.954
1,JIVYIZ,N4,O4,3.170
1,JIVYIZ,N4,O5,3.986
1,JIXROA,N8,O1,3.232
1,JIXROA,N8,O4,3.516
1,JIXROA,N6,O2,3.685
1,JIXROA,N6,O2,3.791
1,JIXROA,N6,O3,3.061
1,KEDDEF01,N5,O3,3.467
1,KEDDEF01,N5,O3,3.848
1,KEFLEM02,N2,O1,3.195
1,KEFLEM02,N2,O2,3.165
1,KEFLEM03,N1,O1,3.217
1,KEFLEM03,N1,O2,3.186
1,KEFLEM04,N1,O1,3.234
1,KEFLEM04,N1,O2,3.214
1,KEFLEM05,N1,O1,3.257
1,KEFLEM05,N1,O2,3.237
1,KEFLEM06,N1,O1,3.279
1,KEFLEM06,N1,O2,3.266
1,KEFLEM07,N1,O1,3.300
1,KEFLEM07,N1,O2,3.293
1,KEFLEM08,N1,O1,3.331
1,KEFLEM08,N1,O2,3.321
1,KEFLEM09,N1,O1,3.300
1,KEFLEM09,N1,O2,3.293
1,KEFLEM10,N1,O1,3.232
1,KEFLEM10,N1,O2,3.188
1,KEFLEM11,N1,O1,3.266
1,KEFLEM11,N1,O2,3.248
1,KEFLEM12,N1,O1,3.279
1,KEFLEM12,N1,O2,3.079
1,KEFLEM13,N1,O1,3.260
1,KEFLEM13,N1,O2,3.092
1,KEFLEM14,N1,O1,3.023
1,KEFLEM14,N1,O2,3.210
1,KEFLEM15,N1,O1,2.927
1,KEFLEM15,N1,O2,3.157
1,KISBEW,N2,O1,3.361
1,KISBEW,N2,O1,3.996
1,KISBEW,N2,O2,3.916
1,KITZOF,N4,O4,3.966
1,KIVVET,N2,O3,3.021
1,KIVVET,N4,O6,3.024
1,KIWCIF,N2,O7,3.311
1,KIWLAG,N2,O1,3.808
1,KIWLAG,N2,O2,3.380
1,KIXWEW,N1,O2,3.647
1,KIXWEW,N2,O5,3.321
1,KIXWEW,N1,O3,3.476
1,KIXYAU,N1,O8,2.981
1,KIXYAU,N2,O1,3.919
1,KIXYAU,N2,O3,3.189
1,KIXYEY,N3,O2,3.929
1,KIXYEY,N3,O7,3.325
1,KIXYEY,N1,O8,3.710
1,KIXYEY,N1,O10,3.946
1,KIXYEY,N4,O2,3.995
1,KIXYEY,N2,O4,3.467
1,KIXYEY,N2,O5,3.264
1,KIYTUK,N2,O2,3.661
1,KIZWIC,N5,O4,3.937
1,KOBBEL,N2,O3,3.497
1,KOBBEL,N2,O4,3.248
1,KOBBEL,N2,O5,3.679
1,KOBBEL,N3,O5,3.362
1,LIKHIZ,N1,O3,3.804
1,LILTIM,N2,O2,3.893
1,LIMBOB,N3,O1,3.839
1,LIMBOB,N3,O2,3.281
1,LIMMUS,N2,O4,3.891
1,LIMMUS,N2,O5,3.675
1,LIMMUS,N2,O6,2.907
1,LIMMUS,N2,O6,3.705
1,LIMMUS,N3,O3,3.396
1,LIMMUS,N3,O4,3.284
1,LINKEB,N1,O1,3.696
1,LINKEB,N1,O1,3.773
1,LINKEB,N1,O3,3.880
1,LIPQIN,N2,O2,3.798
1,LIPQIN,N2,O3,2.971
1,LIPYER,N2,O4,2.930
1,LIPYER,N2,O4,3.521
1,LIPYER,N2,O6,3.494
1,LIPYER,N2,O2,3.997
1,LIPYER,N9,O1,3.536
1,LIPYER,N9,O6,3.448
1,LIPYER,N11,O1,3.602
1,LIPYER,N11,O1,3.801
1,LIPYER,N11,O5,3.603
1,LIPYER,N11,O3,3.645
1,LIPYER,N11,O3,3.777
1,LIRMIL,N2,O1,3.289
1,LIRMIL,N2,O1,3.507
1,LIRMIL,N2,O1,3.912
1,LIRMIL,N2,O2,3.932
1,LISJUV,N2,O6,3.054
1,LISJUV,N5,O2,3.149
1,MANMUJ09,N4,O6,3.807
1,MANMUJ09,N9,O13,3.465
1,MANMUJ09,N4,O15,3.017
1,MANMUJ09,N9,O8,3.812
1,MANMUJ09,N4,O16,3.174
1,MANMUJ09,N9,O9,3.571
1,MANMUJ09,N9,O9,3.849
1,MANMUJ09,N10,O12,3.904
1,MANMUJ09,N5,O5,3.614
1,MANMUJ09,N10,O9,3.464
1,MANMUJ09,N5,O16,3.931
1,MANMUJ09,N11,O4,3.588
1,MANMUJ09,N6,O11,3.276
1,MANMUJ09,N11,O5,3.959
1,MANMUJ09,N6,O12,3.356
1,MANMUJ09,N6,O13,3.449
1,MILQAC,N1,O1,3.484
1,MILQAC,N1,O4,3.383
1,MILQAC,N2,O2,3.787
1,MILQAC,N2,O3,3.123
1,MILQAC,N2,O5,3.182
1,MILQAC,N3,O6,3.875
1,MILQAC,N3,O3,3.748
1,MILQAC,N3,O5,3.855
1,MILQEG,N1,O6,3.859
1,MILQEG,N1,O1,3.052
1,MILQEG,N1,O2,3.879
1,MILQEG,N1,O3,3.812
1,MILQEG,N1,O5,3.976
1,MILQEG,N2,O6,3.801
1,MILQEG,N2,O1,3.659
1,MILQEG,N2,O2,3.408
1,MILQEG,N2,O5,3.289
1,MILQEG,N3,O6,3.259
1,MILQEG,N3,O1,3.643
1,MILQEG,N3,O2,3.825
1,MILQEG,N3,O5,3.549
1,MILQIK,N2,O2,3.348
1,MILQIK,N2,O3,3.652
1,MILQIK,N1,O1E,3.985
1,MILQIK,N1,O1,3.049
1,MILQIK,N1,O3,3.178
1,MILQOQ,N2,O6,3.521
1,MILQOQ,N2,O1,3.933
1,MILQOQ,N2,O2,2.916
1,MILQOQ,N3,O2,3.984
1,MILQOQ,N1,O1,3.026
1,MILQOQ,N1,O2,3.696
1,MILQOQ,N1,O2,3.921
1,MILQOQ,N1,O3,2.929
1,MILQOQ,N1,O4,3.896
1,MIMPOQ,N2,O3,3.834
1,MIPMUW,N1,O3,3.085
1,MIPMUW,N1,O4,3.698
1,MIPMUW,N2,O1,3.173
1,MIPMUW,N2,O2,3.624
1,MIPMUW,N2,O2,3.895
1,MIPMUW,N2,O3,2.979
